Location,Rank,Setting,Type,Enrollment,Tuition
East,1,Suburban,Private,5402,45320
East,2,Urban,Private,6699,47074
North,3,Urban,Private,5844,52491
East,3,City,Private,5532,49480
East,5,Urban,Private,6102,55056
West,5,Suburban,Private,6999,47940
East,7,Urban,Private,4527,48452
South,8,Suburban,Private,6639,51265
North,8,Urban,Private,9726,51464
East,10,Urban,Private,6524,50410
East,11,Rural,Private,4307,51438
West,12,Suburban,Private,1001,47577
North,12,Suburban,Private,8314,50855
East,14,City,Private,6652,51367
East,15,Rural,Private,14315,50953
South,15,Urban,Private,3910,43918
North,15,Suburban,Private,8462,49685
South,15,Urban,Private,6883,45610
South,19,City,Private,7504,49770
South,20,City,Private,6867,47954
West,20,City,Public,27496,40191
West,23,Urban,Private,18810,52217
North,24,Urban,Private,6454,52040
West,24,Urban,Public,29585,39518
South,24,Suburban,Public,16736,45066
East,27,Suburban,Private,5290,52430
North,27,City,Public,28312,43476
South,27,Suburban,Private,4871,49308
South,30,Suburban,Public,18415,33916
East,31,Suburban,Private,9192,51296
South,32,Suburban,Public,6301,41718
East,32,Urban,Private,6304,50142
East,34,Suburban,Private,3621,51570
South,34,Urban,Public,15142,32404
East,36,Urban,Private,25722,49062
North,37,Urban,Private,5121,46006
West,37,Suburban,Public,20607,40704
East,39,Urban,Private,17932,50240
East,39,Urban,Private,13697,47655
East,39,Suburban,Private,5864,50797
South,39,Urban,Private,6662,51010
West,39,Suburban,Public,25256,39458
North,44,City,Private,5075,48320
West,44,City,Public,28384,40728
West,44,Urban,Public,26590,41387
North,44,City,Public,33368,31320
South,44,Suburban,Private,11122,47004
North,44,City,Public,31662,32738
West,50,Suburban,Private,3533,50022
South,50,Suburban,Public,35043,28666
North,50,Suburban,Private,6994,49280
North,50,City,Public,40742,32382
North,54,Urban,Public,45289,29229
West,54,Urban,Public,31063,34791
South,56,Urban,Private,6411,50358
South,56,City,Public,27547,29844
South,56,Suburban,Public,39619,34676
East,60,Urban,Private,8855,47317
North,60,City,Public,29497,28804
East,60,City,Private,15196,45022
East,60,Rural,Public,18826,35858
East,60,Suburban,Public,27443,32045
East,60,City,Private,4299,46994
South,66,Suburban,Public,18016,32796
East,66,Urban,Private,2744,40670
West,68,City,Private,30221,5300
North,68,Urban,Public,18908,29758
East,70,City,Public,35484,30023
South,71,City,Private,14189,42006
East,71,City,Private,2873,48838
North,71,Urban,Public,34071,22210
East,74,City,Private,2397,43150
South,74,City,Public,48960,28768
East,74,Suburban,Public,22748,30123
South,74,Suburban,Public,25384,29371
North,79,Rural,Public,16387,31592
West,79,Suburban,Public,16231,40241
East,79,Suburban,Public,18322,31420
South,82,Suburban,Public,4608,34828
North,82,Suburban,Public,39143,39090
South,82,Suburban,Private,8894,42670
North,82,City,Public,23357,28413
East,86,Suburban,Public,13491,22164
North,86,City,Public,38364,34246
North,86,Urban,Private,8334,38470
South,86,City,Private,5758,46362
West,86,Urban,Private,5647,46140
South,86,City,Private,3478,38796
South,92,City,Public,32706,24673
South,92,City,Public,24111,26399
South,92,City,Public,27010,35079
East,92,Suburban,Public,10973,40364
North,96,Urban,Private,14138,51030
South,96,Urban,Private,8248,40726
East,96,Suburban,Public,16831,26266
South,99,Suburban,Public,21786,28840
North,99,City,Private,11079,41384
East,99,City,Public,1839,17620
East,99,Suburban,Public,19951,26270
North,103,Urban,Private,2991,45214
South,103,Suburban,Public,31958,26950
West,103,City,Public,20538,33442
South,103,Urban,Public,21863,30858
East,107,Suburban,Private,12607,38568
East,107,Suburban,Public,13034,31424
West,107,Urban,Private,6782,44494
South,107,City,Public,25237,31282
North,111,City,Public,30034,21483
North,111,Suburban,Private,8665,40940
South,111,City,Public,27812,25892
North,111,City,Public,20182,23148
South,111,City,Public,22132,21451
West,111,City,Private,3735,44588
West,111,Urban,Public,23794,27039
North,118,Rural,Public,5721,30968
East,118,Suburban,Private,6090,39258
North,118,Urban,Public,28609,25994
West,118,City,Public,18608,40263
South,118,City,Public,19245,25932
North,118,Urban,Private,6240,39594
North,124,Urban,Private,15961,37626
North,124,Urban,Private,5961,35062
West,124,City,Public,33732,30025
West,129,Urban,Public,41828,25458
East,129,Rural,Private,3257,46132
South,129,City,Public,24433,28374
East,129,Urban,Private,6792,45535
East,133,Suburban,Private,6824,42160
South,133,City,Public,22705,26334
South,135,City,Public,19859,23429
South,135,Urban,Public,26156,27005
South,135,City,Private,4667,35130
East,135,Urban,Public,8008,30326
East,135,Urban,Public,7713,29480
South,135,City,Public,22159,23168
North,135,Urban,Public,25054,26334
South,135,Rural,Public,18785,22012
South,143,Suburban,Public,23062,32582
West,143,City,Public,24612,28846
West,143,Rural,Public,24470,25673
East,146,Suburban,Private,4852,34034
North,146,Suburban,Public,23513,21208
West,146,Urban,Public,29234,18244
East,146,Suburban,Private,2805,31880
East,146,Suburban,Public,12908,22244
South,146,Suburban,Public,15575,3365